order,title,link0,link1,link2
1A,Introduction,https://github.com,https://tipe.io,https://frontendmasters.com
1B,Course Overview,https://frontendmasters.com,,
1C,Setup,https://github.com/nvm-sh/nvm,https://github.com/tj/n,
2A,What you'll learn,,,
2B,What is Next.js,https://vercel.com,,
2C,Getting Started,,,
3A,Routing with Pages,,,
3B,Navigation,https://nextjs.org/docs/routing/introduction,,
4A,Styling,https://github.com/css-modules/css-modules,,
4B,Theme UI,https://theme-ui.com,https://baseweb.design/,
5A,Customizing Next.js config,https://github.com/vercel/next.js/blob/canary/packages/next/next-server/lib/constants.ts#L1-L4,,
5B,Plugins,,,
6A,API Routes,,,
6B,API Handlers,https://www.npmjs.com/package/connect,https://expressjs.com/,https://frontendmasters.com/courses/api-design-nodejs-v3/
7A,Fetching Data,https://swr.vercel.app/,https://react-query.tanstack.com/,
7B,Rendering Modes,,,
8A,Working with SSR,,,
9A,Deployment,https://nextjs.org/docs/advanced-features/static-html-export,,
10A,Final Thoughts,,,